"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.402342375644e-201,1.46483417156833,0.735,0.413,6.69546956102983e-197,"0","ENSMUSG00000020034.7"
2.30596612101353e-120,1.44912734910585,0.64,0.411,4.53791072954252e-116,"0","ENSMUSG00000097378.8"
1.5819039950052e-235,1.4082597328924,0.859,0.542,3.11302887177074e-231,"0","ENSMUSG00000056091.12"
6.12549951232895e-95,1.30868766101658,0.613,0.413,1.20543704903121e-90,"0","ENSMUSG00000024667.12"
0,1.26509013782094,0.981,0.721,0,"0","ENSMUSG00000022582.4"
0,2.80683252477373,0.446,0.077,0,"1","ENSMUSG00000028212.16"
5.84376317749635e-176,2.57212406729258,0.259,0.047,1.14999415569951e-171,"1","ENSMUSG00000017499.15"
0,2.32664575298347,0.702,0.226,0,"1","ENSMUSG00000056394.17"
2.53586340039012e-266,2.30974229637551,0.496,0.128,4.99032558562771e-262,"1","ENSMUSG00000050410.15"
4.03924646708648e-207,2.30487556741294,0.366,0.084,7.94883312257949e-203,"1","ENSMUSG00000027490.17"
0,2.36144948811314,0.576,0.133,0,"2","ENSMUSG00000021485.14"
0,2.31927393061897,0.608,0.142,0,"2","ENSMUSG00000022034.10"
7.93824347654674e-303,2.31339465514969,0.991,0.485,1.56216693374963e-298,"2","ENSMUSG00000094248.1"
0,2.31227178075294,0.789,0.21,0,"2","ENSMUSG00000022033.9"
0,2.29609732277966,0.929,0.287,0,"2","ENSMUSG00000005233.16"
0,4.04113366791344,0.974,0.76,0,"3","ENSMUSG00000022651.6"
3.07145783387452e-247,3.49311937522513,0.414,0.09,6.04432187128168e-243,"3","ENSMUSG00000003484.4"
0,3.43083927115345,0.771,0.235,0,"3","ENSMUSG00000063954.7"
0,3.42348953214148,0.772,0.238,0,"3","ENSMUSG00000064220.6"
3.37574642594053e-283,3.41217044335034,0.694,0.318,6.64313139160836e-279,"3","ENSMUSG00000094733.1"
0,6.25427487901554,0.374,0.006,0,"4","ENSMUSG00000040616.3"
0,6.1651247782264,0.311,0.011,0,"4","ENSMUSG00000022586.11"
0,6.12758825248758,0.258,0.004,0,"4","ENSMUSG00000028885.8"
0,6.04691650940465,0.329,0.022,0,"4","ENSMUSG00000046031.7"
0,5.98311035340033,0.536,0.048,0,"4","ENSMUSG00000099974.1"
1.33615251518977e-186,2.04201840641253,0.472,0.097,2.62941453464195e-182,"5","ENSMUSG00000052396.7"
4.12624907389455e-287,1.85342717764579,0.997,0.44,8.12004555251709e-283,"5","ENSMUSG00000001403.13"
8.36396855975845e-238,1.82350903141949,0.777,0.218,1.64594537287487e-233,"5","ENSMUSG00000030867.7"
1.26711333893109e-82,1.78969240362581,0.317,0.088,2.49355233968249e-78,"5","ENSMUSG00000027379.13"
5.0103647727713e-243,1.75647352616176,0.943,0.366,9.85989683633663e-239,"5","ENSMUSG00000018362.14"
6.62703786095051e-113,3.13668784935738,0.257,0.045,1.30413478065645e-108,"6","ENSMUSG00000035365.15"
0,2.89605888382201,0.821,0.195,0,"6","ENSMUSG00000026605.14"
0,2.67202541698458,0.969,0.344,0,"6","ENSMUSG00000006398.15"
0,2.59873108715652,0.878,0.259,0,"6","ENSMUSG00000041431.16"
7.84675813875446e-192,2.57952787984924,0.461,0.089,1.54416353412549e-187,"6","ENSMUSG00000027883.15"
2.03997462992699e-233,3.43332901117308,0.703,0.208,4.01446607423333e-229,"7","ENSMUSG00000026073.13"
2.97395636690544e-140,3.35967766843712,0.348,0.067,5.85244873443322e-136,"7","ENSMUSG00000087477.1"
3.90543696827196e-201,3.27755644479859,0.395,0.06,7.68550940986239e-197,"7","ENSMUSG00000030069.15"
5.97917305999166e-108,3.00577902308726,0.405,0.114,1.17664146647576e-103,"7","ENSMUSG00000025491.14"
2.53789176871821e-141,2.91933453526129,0.371,0.075,4.99431721166057e-137,"7","ENSMUSG00000062488.9"
0,6.58359281062312,0.934,0.084,0,"8","ENSMUSG00000040314.2"
0,6.25327763911982,0.982,0.254,0,"8","ENSMUSG00000020125.7"
0,5.97278336118306,0.994,0.222,0,"8","ENSMUSG00000009350.13"
0,5.18526544899069,0.994,0.34,0,"8","ENSMUSG00000057729.12"
0,5.07934531473055,0.893,0.051,0,"8","ENSMUSG00000068129.5"
0,4.6523509616094,0.285,0.008,0,"9","ENSMUSG00000030147.12"
2.34943923551125e-276,3.9431624323622,0.253,0.011,4.6234614715626e-272,"9","ENSMUSG00000026833.18"
0,3.8915652955708,0.81,0.074,0,"9","ENSMUSG00000025289.15"
0,3.63301492659541,0.814,0.059,0,"9","ENSMUSG00000003032.8"
0,3.53646655785611,0.931,0.091,0,"9","ENSMUSG00000039109.16"
2.09342547226585e-185,5.3843868269841,0.982,0.844,4.11965198687196e-181,"10","ENSMUSG00000064341.1"
2.15630884434957e-102,5.3840484164821,0.657,0.279,4.24340017479552e-98,"10","ENSMUSG00000064360.1"
1.79345581270457e-87,5.36454002857341,0.602,0.256,3.52934169382132e-83,"10","ENSMUSG00000101939.1"
6.50318872033147e-192,5.15157698795393,0.985,0.882,1.27976250827403e-187,"10","ENSMUSG00000064370.1"
1.89858999385671e-193,5.10262745168786,0.985,0.8,3.73623524891062e-189,"10","ENSMUSG00000064363.1"
0,11.1006666102178,0.448,0.001,0,"11","ENSMUSG00000048521.8"
0,10.2992636862013,0.432,0.003,0,"11","ENSMUSG00000055170.4"
0,10.2551426765678,0.537,0.001,0,"11","ENSMUSG00000043931.10"
0,10.1179201383438,0.27,0.001,0,"11","ENSMUSG00000012889.8"
0,9.40885603942311,0.332,0.001,0,"11","ENSMUSG00000104876.1"
0,11.7409728606407,0.299,0,0,"12","ENSMUSG00000073063.3"
0,10.7021819655115,0.295,0,0,"12","ENSMUSG00000023995.12"
0,10.6085818303428,0.258,0.003,0,"12","ENSMUSG00000042066.16"
0,10.6066428025261,0.697,0.005,0,"12","ENSMUSG00000051839.7"
0,10.5317519066288,0.311,0.002,0,"12","ENSMUSG00000028825.7"
4.65438380473146e-28,3.01803026549012,0.452,0.199,9.15936188933103e-24,"13","ENSMUSG00000078087.5"
7.96513646494436e-14,2.88484727267814,0.286,0.134,1.5674592049364e-09,"13","ENSMUSG00000084416.3"
3.05459385356626e-25,2.84717775332427,0.411,0.176,6.01113524443303e-21,"13","ENSMUSG00000067038.6"
1.93183281422628e-14,2.58033303057383,0.29,0.129,3.8016537951159e-10,"13","ENSMUSG00000078193.2"
1.53339489244041e-17,2.51705001028345,0.274,0.104,3.01756780883349e-13,"13","ENSMUSG00000113948.1"
0,11.4309457863584,0.377,0,0,"14","ENSMUSG00000003534.17"
0,10.7998236142028,0.73,0.002,0,"14","ENSMUSG00000094027.2"
0,10.2329066773878,0.877,0.004,0,"14","ENSMUSG00000030785.8"
0,10.0943115267734,0.861,0.002,0,"14","ENSMUSG00000040276.15"
0,9.71068707768821,0.934,0.003,0,"14","ENSMUSG00000063177.6"
0,11.2560272035157,0.588,0.003,0,"15","ENSMUSG00000026938.10"
0,10.6468000400994,0.397,0.003,0,"15","ENSMUSG00000026390.7"
0,10.3722149216841,0.647,0.005,0,"15","ENSMUSG00000014542.3"
0,10.2675299390767,0.5,0.004,0,"15","ENSMUSG00000044206.3"
0,10.2345310425092,0.456,0.005,0,"15","ENSMUSG00000029373.7"
1.74167996883405e-70,8.69070191322938,0.32,0.007,3.42745201066853e-66,"16","ENSMUSG00000031802.9"
1.44839774586545e-42,7.95315241734133,0.36,0.016,2.85030192408862e-38,"16","ENSMUSG00000050965.14"
2.51905215429672e-21,7.92154840864295,0.28,0.019,4.95724273444052e-17,"16","ENSMUSG00000087305.8"
8.96692436473868e-77,7.90398020295576,0.92,0.063,1.76460104573692e-72,"16","ENSMUSG00000053477.17"
1.91609219654345e-31,7.33831710618071,0.68,0.084,3.77067783357786e-27,"16","ENSMUSG00000000861.15"
0,14.630129303466,0.95,0.001,0,"17","ENSMUSG00000000903.3"
0,13.8307401791694,0.3,0,0,"17","ENSMUSG00000030724.7"
0,13.2701879376755,0.85,0.001,0,"17","ENSMUSG00000032053.8"
0,13.0802447316613,0.3,0,0,"17","ENSMUSG00000086501.1"
0,13.0414260745425,0.5,0,0,"17","ENSMUSG00000105646.1"
