"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSMUSG00000020641.16",7.01329010713312e-22,5.17432768477919,0.114,0.004,1.38014536018273e-17
"ENSMUSG00000062488.9",2.91687919916894e-25,5.15211106758972,0.127,0.003,5.74012657604455e-21
"ENSMUSG00000034459.8",1.22685928011016e-92,4.93021459007487,0.46,0.025,2.41433637732878e-88
"ENSMUSG00000035692.7",1.51835140792715e-83,4.63341485896607,0.43,0.026,2.98796373565983e-79
"ENSMUSG00000029561.17",7.60522498018341e-19,4.42695420918305,0.103,0.006,1.49663222385029e-14
"ENSMUSG00000027514.14",1.08554034503341e-50,4.37001052332877,0.287,0.021,2.13623484499124e-46
"ENSMUSG00000078920.3",7.11519609754485e-13,4.24081838662339,0.074,0.006,1.40019944003585e-08
"ENSMUSG00000030107.10",1.84184302969149e-54,4.22852454024884,0.311,0.025,3.62456289812988e-50
"ENSMUSG00000046718.8",7.61068400401603e-46,4.12759102908383,0.259,0.018,1.49770650515031e-41
"ENSMUSG00000074896.3",3.06368488430034e-11,4.04289042612428,0.062,0.004,6.02902548381463e-07
"ENSMUSG00000040264.10",2.74314950054886e-10,3.78519800794387,0.051,0.002,5.39824390213011e-06
"ENSMUSG00000024677.13",1.24130876106768e-10,3.6854638116278,0.062,0.006,2.44277151090509e-06
"ENSMUSG00000030137.8",2.2679833428587e-08,3.63662014912,0.059,0.009,0.000446316442041164
"ENSMUSG00000087477.1",3.88476743127629e-13,3.5028180100807,0.086,0.01,7.64483382800861e-09
"ENSMUSG00000035208.16",3.05386611702995e-10,3.47411503852516,0.061,0.006,6.00970313170324e-06
"ENSMUSG00000040483.15",1.3747461615597e-55,3.2588608295795,0.336,0.034,2.70536297133334e-51
"ENSMUSG00000041827.15",1.17183780894864e-17,3.20819064406771,0.107,0.009,2.30605962423003e-13
"ENSMUSG00000024675.19",3.35571260436542e-10,3.15268487126733,0.061,0.006,6.60370683413071e-06
"ENSMUSG00000079017.3",9.996175942531e-100,3.13647440668375,0.829,0.354,1.96714746373067e-95
"ENSMUSG00000049734.9",1.79337776079046e-41,3.04668689142588,0.303,0.047,3.52918809545955e-37
"ENSMUSG00000033355.6",1.37410201427352e-132,3.00926411533472,0.754,0.119,2.70409535388887e-128
"ENSMUSG00000025498.15",4.89543125598665e-98,2.96770131506212,0.638,0.114,9.63371916865613e-94
"ENSMUSG00000022014.15",6.1170432141011e-18,2.8113784630198,0.138,0.021,1.20377293410296e-13
"ENSMUSG00000037921.15",1.85576127350681e-30,2.7097458372908,0.228,0.034,3.65195261013406e-26
"ENSMUSG00000039236.18",2.48442350334353e-15,2.68964385133979,0.121,0.02,4.88909701222974e-11
"ENSMUSG00000038507.6",6.77055347075465e-27,2.64733288342276,0.208,0.033,1.33237721750981e-22
"ENSMUSG00000069874.7",1.53049067303292e-06,2.63556230943488,0.051,0.01,0.0301185259546147
"ENSMUSG00000046879.7",1.0775957700041e-18,2.62737987321897,0.149,0.025,2.12060071579107e-14
"ENSMUSG00000041959.14",1.8221579388213e-05,2.52176876171776,0.077,0.028,0.358582460780643
"ENSMUSG00000029798.11",1.06233857591106e-10,2.48973368710743,0.072,0.009,2.09057608353537e-06
